10 Giugno 2017	32.37.10.31.62	52.13.40.82.59	09.78.65.79.55	33.01.27.07.70	65.33.56.37.89	89.42.30.43.33	48.86.87.75.36	35.78.15.17.33	86.01.54.60.61	87.66.03.11.88	02.21.01.76.39
11 Aprile 2017	60.20.68.15.44	84.13.58.46.37	88.20.18.08.29	84.59.82.31.44	40.76.62.12.01	32.08.33.87.68	13.64.90.33.84	75.04.07.13.87	03.25.68.21.90	09.12.25.21.47	35.04.54.80.86
8 Aprile 2017	70.12.69.73.30	53.77.25.23.39	21.45.61.14.46	47.44.32.01.14	77.61.51.28.30	29.89.81.33.22	22.65.83.80.14	06.87.78.03.75	51.05.40.85.15	89.19.90.12.36	28.12.78.38.36
6 Aprile 2017	60.48.82.27.09	59.04.44.64.73	80.26.44.59.19	30.37.13.46.06	09.11.35.29.85	10.56.68.57.90	47.27.03.43.85	23.57.28.36.61	29.32.07.40.16	78.03.37.29.67	81.56.87.31.02
4 Aprile 2017	81.69.68.06.63	10.40.34.19.69	47.78.72.65.25	39.01.27.75.42	44.47.86.60.37	42.23.40.33.02	18.42.77.70.05	74.09.25.43.33	32.15.33.82.49	60.59.62.84.71	30.52.59.09.82
1 Aprile 2017	72.18.75.73.14	31.40.16.01.17	06.42.39.55.11	69.89.78.06.10	69.85.83.19.11	33.65.07.06.39	34.36.62.86.25	23.01.33.67.90	01.75.49.43.04	14.29.07.76.26	55.79.44.80.74
30 Marzo 2017	49.61.42.09.01	66.25.69.89.58	26.29.31.17.74	44.06.67.86.45	17.27.88.03.77	78.62.60.27.09	65.59.52.34.31	73.67.06.83.47	54.18.86.26.71	75.04.67.66.46	52.78.36.59.28
28 Marzo 2017	55.70.58.20.78	79.12.57.02.33	82.47.65.63.30	02.01.82.85.71	34.31.10.65.23	90.49.74.24.77	80.29.53.81.15	77.18.86.79.73	80.18.42.37.65	34.86.47.07.40	30.40.50.20.56
25 Marzo 2017	75.27.23.64.73	14.44.42.23.87	09.36.72.33.74	82.87.15.80.50	74.05.82.29.56	51.42.29.73.50	14.01.07.20.77	35.20.79.82.07	54.31.28.53.55	12.61.51.39.26	86.01.67.82.41
23 Marzo 2017	54.33.01.15.71	64.46.15.71.13	38.15.28.01.04	59.11.20.57.74	44.65.70.17.75	39.54.34.33.89	67.07.08.21.86	82.40.83.88.90	77.60.80.11.90	54.80.86.24.84	77.35.82.84.20
21 Marzo 2017	07.74.65.32.12	77.47.04.72.15	64.62.29.14.84	49.88.63.23.05	30.67.43.18.54	22.02.78.55.39	25.15.36.45.75	20.16.57.40.75	08.11.35.54.65	72.83.68.14.27	89.60.63.83.25
18 Marzo 2017	69.37.70.81.22	74.12.88.77.70	67.14.55.21.34	22.04.35.66.56	59.18.62.72.88	49.67.07.13.26	46.21.39.61.03	79.85.70.34.32	34.53.19.43.90	50.88.62.73.41	17.43.70.86.88
16 Marzo 2017	07.76.44.24.67	08.19.38.46.74	76.16.80.53.65	42.70.28.87.02	19.15.79.67.28	50.53.79.68.87	23.67.31.48.62	13.47.86.77.89	85.86.37.29.24	40.74.78.48.16	40.39.10.19.26
14 Marzo 2017	59.74.55.12.77	82.39.49.05.71	77.70.58.37.87	07.84.74.51.82	66.57.81.10.89	09.71.52.47.43	49.51.03.59.28	30.90.41.76.48	74.09.13.73.56	85.65.13.48.60	80.81.21.54.74
11 Marzo 2017	16.19.24.66.74	73.70.86.83.47	44.28.08.11.33	63.45.21.22.81	29.52.36.56.48	09.08.59.41.34	37.90.03.86.69	35.17.62.15.83	65.05.22.49.81	51.15.44.76.87	16.77.26.20.41
9 Marzo 2017	38.40.47.59.80	19.88.12.07.04	19.08.27.28.90	26.39.41.25.62	63.66.05.73.01	25.28.01.12.75	62.19.07.80.25	87.62.85.30.77	03.22.88.39.56	85.81.89.23.02	60.52.32.07.10
7 Marzo 2017	22.60.12.62.36	42.29.73.47.74	47.72.57.34.65	04.58.26.75.41	48.04.11.05.52	75.27.05.24.83	52.47.12.67.40	83.65.11.29.79	45.42.01.74.48	38.83.18.33.41	04.43.59.73.09
4 Marzo 2017	35.66.36.32.77	35.02.01.57.61	24.88.17.23.64	34.35.39.29.87	85.32.06.12.49	60.12.01.69.65	11.60.51.03.67	28.42.17.56.14	25.29.02.03.82	65.18.07.53.61	56.32.70.52.86
2 Marzo 2017	74.28.22.13.67	40.39.13.89.80	63.31.34.50.49	26.64.40.20.82	23.36.60.52.48	05.55.50.38.34	28.14.21.44.58	22.39.85.67.12	25.20.76.44.84	65.43.62.75.74	63.37.51.09.13
28 Febbraio 2017	55.29.89.61.74	07.66.22.90.19	19.44.27.64.30	50.11.05.82.58	26.42.27.35.79	34.02.22.77.81	76.16.30.45.43	55.24.74.86.14	88.64.51.85.04	21.84.13.11.17	67.62.57.84.09
25 Febbraio 2017	52.68.57.50.33	51.02.20.62.58	35.23.54.83.49	40.57.75.23.49	46.41.90.81.80	89.88.06.14.13	60.46.33.15.49	18.07.25.28.85	24.87.58.39.82	53.02.59.69.40	31.26.05.41.74
23 Febbraio 2017	76.75.27.84.61	45.01.04.25.39	10.50.88.72.65	43.44.45.25.26	48.42.73.13.78	60.88.50.87.83	88.66.40.27.52	67.11.51.54.84	40.30.62.51.67	79.10.08.16.69	32.40.46.66.74
21 Febbraio 2017	66.30.84.07.56	43.67.79.63.88	31.01.05.42.40	30.03.64.83.08	46.67.64.89.33	89.01.35.33.48	30.75.31.83.76	62.57.29.05.46	22.05.08.65.70	83.05.78.62.84	59.49.20.30.14
18 Febbraio 2017	69.84.55.50.75	50.79.88.42.31	20.15.75.57.17	28.18.78.17.38	59.25.43.30.05	16.25.35.41.11	67.23.34.71.29	02.47.37.72.75	77.36.11.26.02	51.46.48.06.05	80.76.17.57.33
16 Febbraio 2017	32.50.56.45.08	87.65.24.30.34	07.45.80.41.55	19.01.55.09.65	13.88.54.62.72	28.32.45.90.06	55.74.52.46.90	81.07.42.20.57	06.19.15.36.17	21.06.75.82.32	64.39.66.49.35
14 Febbraio 2017	01.07.51.71.72	39.45.28.15.59	05.13.89.27.42	56.76.65.50.29	90.60.46.65.15	60.19.89.59.76	61.26.29.86.66	86.04.18.33.38	36.41.03.19.30	59.73.52.21.61	81.75.19.06.50
11 Febbraio 2017	43.37.88.36.59	34.17.40.21.28	35.59.01.56.22	73.09.72.42.33	02.84.75.64.38	32.07.13.55.34	12.73.30.25.37	30.43.76.04.41	88.44.48.24.60	33.41.09.63.30	05.31.42.04.26
9 Febbraio 2017	05.64.11.89.72	10.54.75.67.44	53.78.46.47.80	06.69.44.07.18	28.16.51.34.09	72.43.70.07.22	88.40.33.62.77	50.22.78.57.42	76.83.48.24.51	82.24.85.52.61	33.83.61.80.78
7 Febbraio 2017	35.76.48.29.41	81.50.69.62.65	18.80.09.79.24	08.14.58.30.25	32.16.85.03.55	09.02.64.88.19	74.61.06.21.12	13.02.70.18.12	46.22.63.81.41	03.54.69.20.43	57.45.31.25.82
4 Febbraio 2017	69.25.68.62.58	09.54.16.57.17	76.36.90.24.49	78.79.80.25.07	37.70.71.24.09	40.05.50.22.54	39.81.58.06.37	05.69.37.49.20	74.06.57.16.10	57.63.88.18.71	89.17.38.24.51
2 Febbraio 2017	60.25.42.11.86	20.69.23.06.30	67.21.29.02.38	74.15.02.61.23	79.43.89.33.81	35.19.56.02.44	42.89.20.80.74	48.08.04.01.51	67.03.26.02.65	33.45.06.44.61	72.32.49.16.63
